description	Move	Motion	Damage	Stun Damage	Chains into itself	Special Cancel	Super Cancel	Startup	Hit	Recovery	Blocked Advantage	Hit Advantage	Crouching Hit Advantage	Guard	Parry	gagueData_Miss	gagueData_Blocked	gagueData_Hit	gagueData_Parry (Gauge for opponent)	Throw Range	Kara-Throw	Kara-Throw Range	Blocked Damage	gagueData_Move	gagueData_Motion	gagueData_Damage	gagueData_Blocked Damage	gagueData_Stun Damage	gagueData_Super Cancel	Gauge Needed
This is the unfavorable distance after hit a character with the taunt	Taunt	HP+HK	5	7	No	No	No	14	9	8	?	?	?	HL	HL	4(6)	?	?	8(4+4)	-	-	-	-	-	-	-	-	-	-	-
Comments here	Far Jab	LP	30(5 life points)	5	No	No	No	2	1	5	+6	+6	+6	HL	H	0	1	2	4	-	-	-	-	-	-	-	-	-	-	-
Comments here	Far Strong	MP	70(12 life points)	11	No	No	No	6	2	6	+6	+7	+8	HL	H	1	3	9	4	-	-	-	-	-	-	-	-	-	-	-
Comments here	Far Fierce	HP	70(60)(12 life points)	5(3)	No	Yes	Yes	13	4	14	-1	+1	+3	HL	H	2	4	10	4	-	-	-	-	-	-	-	-	-	-	-
Comments here	Close Jab	(Close to opponent) LP	25(4 life points)	3	No	Yes	Yes	2	2	2	+5	+5	+5	HL	HL	0	1	2	4	-	-	-	-	-	-	-	-	-	-	-
Comments here	Close Fierce	(Close to opponent) HP	130(60+70)(18 life points)	16(9+7)	No	Yes	Yes	9	1,4	15	-3	-1	+1	HL	H	3	11	20	8(4+4)	-	-	-	-	-	-	-	-	-	-	-
Comments here	Short	LK	20(3 life points)	3	No	No	No	4	4	6	+1	+1	+1	HL	HL	0	1	2	4	-	-	-	-	-	-	-	-	-	-	-
Comments here	Forward	MK	100(17 life points)	11	No	Yes	Yes	5	4	14	+1	+2	+3	HL	H	2	6	11	4	-	-	-	-	-	-	-	-	-	-	-
Comments here	Roundhouse	HK	110(19 life points)	13	No	No	No	9	3	21	-2	-1	+1	HL	H	3	10	19	4	-	-	-	-	-	-	-	-	-	-	-
Comments here	Close Roundhouse	(Close to opponent) HK	120(50+70)(18 life points)	12(3+9)	No	No	No	5	1,6	22	-11	Down	Down	HL	H	3	8	18	4	-	-	-	-	-	-	-	-	-	-	-
Comments here	Jump Jab	(Air) LP	60(50 if neutral jump)(10/8 life points)	5(7 if neutral jump)	No	No	No	3	19(Until landing if neutral jump)	-	-4～+7/-1～+7	-4～+7/-1～+7	0～+7/+5～+7	H	H	0	1	2	4	-	-	-	-	-	-	-	-	-	-	-
Comments here	Jump Strong	(Air) MP	80(70 if neutral jump)(12 life points)	11(9 if neutral jump)	No	No	No	6(5 if neutral jump)	13(7 if neutral jump)	-	-1～+10/+1～+10	-1～+10/+1～+10	+3～+10/+7～+10	H	H	2	6	11	4	-	-	-	-	-	-	-	-	-	-	-
