description	Move	Motion	Damage	Stun Damage	Chains into itself	Special Cancel	Super Cancel	Startup	Hit	Recovery	Blocked Advantage	Hit Advantage	Crouching Hit Advantage	Guard	Parry	gagueData_Miss	gagueData_Blocked	gagueData_Hit	gagueData_Parry (Gauge for opponent)	Juggle Value	Throw Range	Kara-Throw	Kara-Throw Range	Blocked Damage	gagueData_Move	Gauge Needed
Comments here	Taunt	HP+HK	5/5	3/3	No	No	No	15/9	1/1	27	?	?	?	HL	HL	4(6)	?	?	8(4+4)	-	-	-	-	-	-	-
Comments here	Far Jab	LP	20(3 life points)	3	Yes	Yes	Yes	5	3	4	+4	+4	+4	HL	HL	0	1	2	4	15	-	-	-	-	-	-
Comments here	Far Strong	MP	90(16 life points)	11	No	No	No	6	3	10	+3	+4	+5	HL	H	2	4	8	4	15	-	-	-	-	-	-
Comments here	Far Fierce	HP	130(23 life points)	13	No	No	No	9	3	15	0	+2	+4	HL	H	3	6	14	4	15	-	-	-	-	-	-
Comments here	Close Jab	(Close to opponent) LP	20(3 life points)	3	No	Yes	Yes	3	3	5	+3	+3	+3	HL	HL	0	1	2	4	15	-	-	-	-	-	-
Comments here	Close Strong	(Close to opponent) MP	100(17 life points)	7	No	Yes	Yes	4	4	10	+1	+2	+3	HL	H	2	4	8	4	15	-	-	-	-	-	-
Comments here	Close Fierce	(Close to opponent) HP	130(23 life points)	15	No	Yes	Yes	6	3	15	-2	0	+2	HL	H	3	6	14	4	15	-	-	-	-	-	-
Comments here	Short	LK	40(7 life points)	3	No	No	No	4	4	7	+2	+2	+2	HL	HL	0	1	2	4	15	-	-	-	-	-	-
Comments here	Forward	MK	110(19 life points)	15	No	No	No	8	7	16	-6	-2	0	HL	H	2	4	8	4	7	-	-	-	-	-	-
Comments here	Roundhouse	HK	150(26 life points)	11	No	No	No	11	6	19	-4	-2	0	HL	H	3	6	14	4	15	-	-	-	-	-	-
Comments here	Jump Jab	(Air) LP	50(60 if neutral jump)(8/10 life points)	7	No	No	No	4(5 if neutral jump)	Until landing	-	-5～+7	-5～+7	+4～+7	H	H	0	1	2	4	3	-	-	-	-	-	-
Comments here	Jump Strong	(Air) MP	100(17 life points)	11	No	No	No	5(6 if neutral jump)	5	-	-2～+10	-2～+10	+7～+10	H	H	2	4	8	4	3	-	-	-	-	-	-
Comments here	Jump Fierce	(Air) HP	130(17 life points)	15	No	No	No	6	4	-	-2～+10	-2～+10	+7～+10	H	H	3	6	14	4	3	-	-	-	-	-	-
Comments here	Neutral Jump Fierce	(Air) HP	130(23 life points)	15	No	No	No	7	3	-	+3～+13/+6～+13	+3～+13/+6～+13	+10～+13/+12～+13	H	H	3	6	14	4	3	-	-	-	-	-	-
Comments here	Jump Short	(Air) LK	50(8 life points)	5(7 if neutral jump)	No	No	No	4(5 if neutral jump)	10(19 if neutral jump)	-	-8～+7	-8～+7	0～+7	H	H	0	1	2	4	3	-	-	-	-	-	-
Comments here	Jump Forward	(Air) MK	90(16 life points)	9	No	No	No	5	6	-	-6～+10/-3～+10	-6～+10/-3～+10	+6～+10/+7～+10	H	H	2	4	8	4	3	-	-	-	-	-	-
Comments here	Neutral Jump Forward	(Air) MK	90(16 life points)	9	No	No	No	5	6	-	-6～+10/-3～+10	-6～+10/-3～+10	+6～+10/+7～+10	H	H	2	4	8	4	3	-	-	-	-	-	-
Comments here	Jump Roundhouse	(Air) HK	125(22 life points)	13	No	No	No	6	4	-	+2～+13	+2～+13	+8～+13/+10～+13	H	H	3	6	14	4	3	-	-	-	-	-	-
Comments here	Neutral Jump Roundhouse	(Air) HK	130(23 life points)	13	No	No	No	7	5	-	+2～+13	+2～+13	+8～+13/+10～+13	H	H	3	6	14	4	3	-	-	-	-	-	-
Comments here	Universal Overhead	MP+MK	40(7 life points)	3	No	No	No	15	8	7	-5~+7	0~+8	+1~+9	H	H	0	1	2	4	1	-	-	-	-	-	-
Comments here	Hiza Geri	LP+LK	160(40x6)(27 life points)	12(3x6)	-	-	-	2	1	21	-	-	-	LP+LK	-	0	7 (for the player who blocked)	12(6x2)	-	-	24	C+MK/C+HK/B+MK/MK/HK	37/37/34/32/32	-	-	-
Comments here	Seoi Nage	F+LP+LK	120(21 life points)	9	-	-	-	2	1	21	-	-	-	LP+LK	-	0	7 (for the player who blocked)	7	-	-	24	C+MK/C+HK/B+MK/MK/HK	37/37/34/32/32	-	-	-
Comments here	Jigoku Guruma	B+LP+LK	110(19 life points)	15	-	-	-	2	1	21	-	-	-	LP+LK	-	0	7 (for the player who blocked)	7	-	-	24	C+MK/C+HK/B+MK/MK/HK	37/37/34/32/32	-	-	-
Comments here	Crouch Jab	D+LP	20(3 life points)	3	Yes	Yes	Yes	4	3	5	+3	+3	+3	HL	HL	0	1	2	4	15	-	-	-	-	-	-
Comments here	Crouch Strong	D+MP	90(16 life points)	7	No	Yes	Yes	5	4	7	+3	+4	+5	HL	HL	2	4	8	4	15	-	-	-	-	-	-
Comments here	Crouch Fierce	D+HP	130(23 life points)	13	No	Yes	Yes	7	5	17	-8	-6	-4	HL	HL	3	6	14	4	15	-	-	-	-	-	-
Comments here	Crouch Short	D+LK	20(3 life points)	3	Yes	Yes	Yes	5	3	7	+1	+1	+1	L	L	0	1	2	4	15	-	-	-	-	-	-
Comments here	Crouch Forward	D+MK	85(15 life points)	3	No	Yes	Yes	6	5	17	-3	-3	-1	L	L	2	4	8	4	15	-	-	-	-	-	-
Comments here	Crouch Roundhouse	D+HK	130(23 life points)	3	No	No	No	6	5	26	-13	Down	Down	L	L	3	6	14	4	15	-	-	-	-	-	-
Comments here	Fumikomi Mae Geri	F+MK	80(14 life points)	7	No	No	No	16	4	15	-4	-1	0	HL	H	3	6	14	4	3	-	-	-	-	-	-
Comments here	Inazuma Kakato Wari	B+MK	130(60+80)(21 life points)	11(7+7)	No	No	No	18	2(0)2	10	+1	+2	+3	H/H	H/H	2(2+0)	3(2+1)	9(7+2)	8(4+4)	2 • 1	-	-	-	-	-	-
